id,cell,lang,label,rung,family,role,verdict,rate_warp,source,channel,arm,fps,n_frames,m.dur_s,m.amp,m.vel_rms,m.vel_rms_excess,m.noise_sigma,m.thr_used,m.n_events,m.event_rate,m.prom_median,m.prom_max,m.max_over_median,m.gini,m.cv,m.mean_in_span,fplan.n_f0_peaks,fplan.n_events,fplan.recall,fplan.precision,fplan.events_per_f0,fplan.recall_chance,fplan.recall_excess,fplan.precision_chance,fplan.precision_excess,fplan.hits,fpost.n_f0_peaks,fpost.n_events,fpost.recall,fpost.precision,fpost.events_per_f0,fpost.recall_chance,fpost.recall_excess,fpost.precision_chance,fpost.precision_excess,fpost.hits,coup.r_phrase,coup.lag_phrase,coup.r_tone,coup.lag_tone,coup.r_phrase_rev,coup.r_tone_rev,coup.tone_band_frac,accent_resp_median,fplan.recall_chance_cross,fplan.recall_excess_cross,x.k_praat,x.k_pyin,x.g_ip,x.reg_praat,x.reg_pyin,x.d_rms_speech_db
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emotalk,brow_outer_net,noise,30,117,1.83333,0.303078,0.952901,0.945403,0.0139203,0.0523571,3,1.63636,0.150266,0.180638,1.20212,0.0752588,0.138929,-0.505118,3,3,0.666667,1,1,0.761667,-0.095,0.906667,0.0933333,2,3,3,0.666667,0.666667,1,0.49,0.176667,0.49,0.176667,2,,,,,,,,,0.5,0.166667,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,brow_inner,clean,25,98,1.84,0.0442853,0.167984,0.16311,0.0042827,0.0224811,3,1.63043,0.0297032,0.0302948,1.01992,0.0496863,0.100792,0.128484,3,3,1,1,1,0.9,0.1,0.9,0.1,3,3,3,0.333333,0.333333,1,0.505,-0.171667,0.505,-0.171667,1,0.658462,0,0.345733,0.15,0.404183,0.5702,0.349966,0.0297914,0.666667,0.333333,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,brow_inner,noise,25,98,1.84,0.04374,0.171234,0.166323,0.00434076,0.0224939,3,1.63043,0.0296299,0.0321589,1.08535,0.0589465,0.110325,0.128069,3,3,1,1,1,0.89,0.11,0.901667,0.0983333,3,3,3,0.333333,0.333333,1,0.52,-0.186667,0.52,-0.186667,1,,,,,,,,,0.5,0.5,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,brow_outer,clean,25,98,1.84,0.0144666,0.0451406,0.0422108,0.00170549,0.00700659,2,1.08696,0.00805669,0.00894791,1.11062,,,0.0488769,3,2,0.666667,1,0.666667,0.605,0.0616667,0.9075,0.0925,2,3,2,0,0,0.666667,0.351667,-0.351667,0.5275,-0.5275,0,0.623995,-0.0666667,0.421139,0.15,0.818003,0.408295,0.325184,0.00815179,0.833333,-0.166667,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,brow_outer,noise,25,98,1.84,0.0145253,0.0459953,0.0427786,0.00180156,0.00774984,1,0.543478,0.00871357,0.00871357,,,,0.0489136,3,1,0.333333,1,0.333333,0.303333,0.03,0.91,0.09,1,3,1,0,0,0.333333,0.17,-0.17,0.51,-0.51,0,,,,,,,,,0.666667,-0.333333,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,lid_upper,clean,25,98,1.84,0.0396587,0.126308,0.121473,0.00368981,0.0164365,2,1.08696,0.0224308,0.0238087,1.06143,,,0.0715418,3,2,0.333333,0.5,0.666667,0.605,-0.271667,0.9075,-0.4075,1,3,2,0,0,0.666667,0.325,-0.325,0.4875,-0.4875,0,0.519415,0.316667,0.290005,-0.15,0.445116,0.412114,0.321527,0.0214872,0.333333,0,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,lid_upper,noise,25,98,1.84,0.0396809,0.126131,0.119301,0.00436481,0.0167004,2,1.08696,0.0224041,0.0241661,1.07865,,,0.0714355,3,2,0.333333,0.5,0.666667,0.605,-0.271667,0.9075,-0.4075,1,3,2,0,0,0.666667,0.325,-0.325,0.4875,-0.4875,0,,,,,,,,,0.333333,0,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,jaw,clean,25,98,1.84,0.280237,0.776316,0.754533,0.019468,0.0674683,3,1.63043,0.162905,0.282679,1.73523,0.220448,0.411999,1.25108,3,3,0.666667,0.666667,1,0.835,-0.168333,0.901667,-0.235,2,3,3,0,0,1,0.476667,-0.476667,0.476667,-0.476667,0,0.480799,0.316667,0.535811,0.133333,0.593268,0.301898,0.172515,0.160684,0.5,0.166667,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,emote,jaw,noise,25,98,1.84,0.278311,0.774995,0.758864,0.0167692,0.073159,3,1.63043,0.168479,0.280573,1.66533,0.226379,0.418992,1.25129,3,3,0.666667,0.666667,1,0.835,-0.168333,0.901667,-0.235,2,3,3,0,0,1,0.476667,-0.476667,0.476667,-0.476667,0,,,,,,,,,0.5,0.166667,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,medtalk,brow_inner,clean,60,234,1.81667,0.0747462,0.227822,0.224101,0.00676554,0.0366537,1,0.550459,0.057295,0.057295,,,,0.127814,3,1,0,0,0.333333,0.3,-0.3,0.9,-0.9,0,3,1,0,0,0.333333,0.153333,-0.153333,0.46,-0.46,0,0.505388,-0.2,0.446075,-0.116667,0.460757,0.346895,0.469061,0.0390948,0.333333,-0.333333,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,medtalk,brow_inner,noise,60,234,1.81667,0.0721087,0.222796,0.21515,0.00954786,0.0391222,1,0.550459,0.0568447,0.0568447,,,,0.127942,3,1,0,0,0.333333,0.3,-0.3,0.9,-0.9,0,3,1,0,0,0.333333,0.153333,-0.153333,0.46,-0.46,0,,,,,,,,,0.333333,-0.333333,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,medtalk,brow_outer,clean,60,234,1.81667,0.0628809,0.140114,0.13679,0.00500545,0.0273365,1,0.550459,0.0485551,0.0485551,,,,0.0862435,3,1,0.333333,1,0.333333,0.311667,0.0216667,0.935,0.065,1,3,1,0,0,0.333333,0.161667,-0.161667,0.485,-0.485,0,0.518902,-0.166667,0.344463,0.0166667,0.665317,0.324533,0.394687,0.0307805,0.333333,0,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,medtalk,brow_outer,noise,60,234,1.81667,0.0629775,0.144063,0.138757,0.00639171,0.0288394,1,0.550459,0.0508263,0.0508263,,,,0.086452,3,1,0.333333,1,0.333333,0.308333,0.025,0.925,0.075,1,3,1,0,0,0.333333,0.153333,-0.153333,0.46,-0.46,0,,,,,,,,,0.333333,0,0.984,1.035,1.011,4.688,4.6,7
en_rav02_take1_ang__effort,en_rav02_take1_ang,en,ang,effort,effort,rung,warn,0.9,medtalk,lid_upper,clean,60,234,1.81667,0.0356615,0.0928264,0.0919481,0.00210193,0.0104121,3,1.65138,0.0163728,0.0208264,1.27202,0.0783611,0.148938,-0.00423738,3,3,1,1,1,0.803333,0.196667,0.9,0.1,3,3,3,0.666667,0.666667,1,0.5,0.166667,0.5,0.166667,2,0.318832,-0.2,0.353213,0.0166667,0.171539,0.236547,0.228285,0.0177379,0.333333,0.666667,0.984,1.035,1.011,4.688,4.6,7
