source,arm,channel,window,unit,recall,recall_lo,recall_hi,recall_p05,recall_p95,exc_circ,exc_circ_lo,exc_circ_hi,exc_circ_p05,exc_circ_p95,exc_cross,exc_cross_lo,exc_cross_hi,exc_cross_p05,exc_cross_p95,events_per_f0,events_per_f0_lo,events_per_f0_hi,events_per_f0_p05,events_per_f0_p95,event_rate,event_rate_lo,event_rate_hi,event_rate_p05,event_rate_p95,n,n_clusters,scope,prec_exc,prec_exc_lo,prec_exc_hi,coup_minus_rev,coup_minus_rev_lo,coup_minus_rev_hi
medtalk,noise,brow_inner,plan,c100 item (cell bootstrap),0.56429,0.34996,0.77778,,,-0.0025059,-0.12571,0.12601,,,0.089319,-0.14638,0.34195,,,1.1,0.76937,1.4167,,,1.1645,0.84553,1.4853,,,12,12,c100,0.01039,-0.1286,0.17713,,,
medtalk,noise,brow_inner,post,c100 item (cell bootstrap),0.42381,0.21389,0.65162,,,0.083498,-0.070414,0.26561,,,,,,,,1.1,0.76937,1.4167,,,1.1645,0.84553,1.4853,,,12,12,c100,0.010173,-0.14046,0.15527,,,
medtalk,noise,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.48254,0.31761,0.63535,,,-0.020182,-0.12185,0.084585,,,0.055905,-0.13896,0.25124,,,0.97132,0.6908,1.2444,,,1.0224,0.78461,1.2507,,,168,12,all_nonrate_rungs,-0.011215,-0.13017,0.12308,,,
medtalk,noise,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.29144,0.17018,0.41506,,,-0.0080768,-0.092105,0.082725,,,,,,,,0.97132,0.6908,1.2444,,,1.0224,0.78461,1.2507,,,168,12,all_nonrate_rungs,-0.035841,-0.16301,0.08174,,,
medtalk,noise,brow_outer,plan,c100 item (cell bootstrap),0.44484,0.26151,0.6338,,,-0.015861,-0.17648,0.14652,,,0.037268,-0.17338,0.25418,,,1.002,0.55,1.6559,,,0.96736,0.69061,1.3428,,,12,12,c100,-0.020326,-0.18085,0.14549,,,
medtalk,noise,brow_outer,post,c100 item (cell bootstrap),0.20714,0.072222,0.37381,,,-0.07851,-0.28165,0.12423,,,,,,,,1.002,0.55,1.6559,,,0.96736,0.69061,1.3428,,,12,12,c100,-0.047965,-0.24954,0.17342,,,
medtalk,noise,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.42364,0.267,0.58578,,,-0.037053,-0.17954,0.087248,,,0.017042,-0.14883,0.19264,,,0.97477,0.55969,1.5543,,,0.95743,0.6926,1.288,,,168,12,all_nonrate_rungs,-0.044873,-0.17018,0.086062,,,
medtalk,noise,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.23994,0.13095,0.36111,,,-0.041164,-0.14914,0.087876,,,,,,,,0.97477,0.55969,1.5543,,,0.95743,0.6926,1.288,,,168,12,all_nonrate_rungs,-0.034329,-0.17736,0.14064,,,
f0_follower,clean,brow_inner,plan,c100 item (cell bootstrap),0.75675,0.66068,0.85556,,,0.29546,0.17969,0.41843,,,0.30053,0.18068,0.45703,,,0.75675,0.66068,0.85556,,,0.89482,0.75111,1.0521,,,12,12,c100,0.36678,0.25891,0.47349,0.3355,0.17117,0.51004
f0_follower,clean,brow_inner,post,c100 item (cell bootstrap),0.66071,0.5107,0.80556,,,0.39893,0.24732,0.54964,,,,,,,,0.75675,0.66068,0.85556,,,0.89482,0.75111,1.0521,,,12,12,c100,0.4835,0.33497,0.61564,0.3355,0.17117,0.51004
f0_follower,clean,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.63849,0.50913,0.75797,,,0.22835,0.12693,0.34628,,,0.21198,0.11384,0.30374,,,0.66944,0.55179,0.78831,,,0.79703,0.64672,0.95272,,,168,12,all_nonrate_rungs,0.33153,0.23212,0.43327,0.31935,0.16666,0.47952
f0_follower,clean,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.44118,0.31368,0.58216,,,0.20933,0.089566,0.34836,,,,,,,,0.66944,0.55179,0.78831,,,0.79703,0.64672,0.95272,,,168,12,all_nonrate_rungs,0.28727,0.13244,0.44322,0.31935,0.16666,0.47952
f0_follower,clean,brow_outer,plan,c100 item (cell bootstrap),0.75675,0.66068,0.85556,,,0.29546,0.17969,0.41843,,,0.30053,0.18068,0.45703,,,0.75675,0.66068,0.85556,,,0.89482,0.75111,1.0521,,,12,12,c100,0.36678,0.25891,0.47349,0.3355,0.17117,0.51004
f0_follower,clean,brow_outer,post,c100 item (cell bootstrap),0.66071,0.5107,0.80556,,,0.39893,0.24732,0.54964,,,,,,,,0.75675,0.66068,0.85556,,,0.89482,0.75111,1.0521,,,12,12,c100,0.4835,0.33497,0.61564,0.3355,0.17117,0.51004
f0_follower,clean,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.63849,0.50913,0.75797,,,0.22835,0.12693,0.34628,,,0.21198,0.11384,0.30374,,,0.66944,0.55179,0.78831,,,0.79703,0.64672,0.95272,,,168,12,all_nonrate_rungs,0.33153,0.23212,0.43327,0.31935,0.16666,0.47952
f0_follower,clean,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.44118,0.31368,0.58216,,,0.20933,0.089566,0.34836,,,,,,,,0.66944,0.55179,0.78831,,,0.79703,0.64672,0.95272,,,168,12,all_nonrate_rungs,0.28727,0.13244,0.44322,0.31935,0.16666,0.47952
f0_follower,noise,brow_inner,plan,c100 item (cell bootstrap),0.6873,0.54721,0.82225,,,0.27756,0.15738,0.40784,,,0.28829,0.13331,0.46331,,,0.6873,0.54721,0.82225,,,0.77069,0.64847,0.90102,,,12,12,c100,0.35925,0.24674,0.47163,,,
f0_follower,noise,brow_inner,post,c100 item (cell bootstrap),0.57659,0.40553,0.75556,,,0.34625,0.184,0.52219,,,,,,,,0.6873,0.54721,0.82225,,,0.77069,0.64847,0.90102,,,12,12,c100,0.44019,0.29003,0.5909,,,
f0_follower,noise,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.61264,0.47796,0.74334,,,0.22115,0.11955,0.34012,,,0.22502,0.12435,0.31753,,,0.6434,0.51686,0.77218,,,0.75539,0.60594,0.90918,,,168,12,all_nonrate_rungs,0.32897,0.22884,0.43112,,,
f0_follower,noise,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.41103,0.29477,0.54904,,,0.18977,0.086409,0.32085,,,,,,,,0.6434,0.51686,0.77218,,,0.75539,0.60594,0.90918,,,168,12,all_nonrate_rungs,0.27153,0.14183,0.42324,,,
f0_follower,noise,brow_outer,plan,c100 item (cell bootstrap),0.6873,0.54721,0.82225,,,0.27717,0.15776,0.40639,,,0.28829,0.13331,0.46331,,,0.6873,0.54721,0.82225,,,0.77069,0.64847,0.90102,,,12,12,c100,0.35911,0.24757,0.47176,,,
f0_follower,noise,brow_outer,post,c100 item (cell bootstrap),0.57937,0.398,0.75837,,,0.34842,0.17882,0.51952,,,,,,,,0.6873,0.54721,0.82225,,,0.77069,0.64847,0.90102,,,12,12,c100,0.44119,0.27543,0.59264,,,
f0_follower,noise,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.61925,0.49223,0.74605,,,0.22668,0.12653,0.3436,,,0.22866,0.13004,0.31514,,,0.64881,0.52738,0.7752,,,0.75799,0.61429,0.90807,,,168,12,all_nonrate_rungs,0.33412,0.23429,0.43533,,,
f0_follower,noise,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.42554,0.29578,0.57203,,,0.20363,0.085494,0.34442,,,,,,,,0.64881,0.52738,0.7752,,,0.75799,0.61429,0.90807,,,168,12,all_nonrate_rungs,0.27272,0.11866,0.43681,,,
energy_follower,clean,brow_inner,plan,c100 item (cell bootstrap),0.84643,0.6567,0.96944,,,-0.015645,-0.18991,0.099703,,,-0.0060847,-0.18387,0.12441,,,1.9643,1.5119,2.4703,,,2.0827,1.926,2.2689,,,12,12,c100,-0.035876,-0.13095,0.053419,0.072612,-0.11369,0.2495
energy_follower,clean,brow_inner,post,c100 item (cell bootstrap),0.60794,0.43849,0.76906,,,0.0080695,-0.1626,0.159,,,,,,,,1.9643,1.5119,2.4703,,,2.0827,1.926,2.2689,,,12,12,c100,0.017357,-0.065436,0.094632,0.072612,-0.11369,0.2495
energy_follower,clean,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.84048,0.6579,0.96349,,,-0.029464,-0.20057,0.084852,,,-0.00099209,-0.17716,0.13243,,,1.9572,1.5153,2.4366,,,2.085,1.9341,2.2588,,,168,12,all_nonrate_rungs,-0.036312,-0.1273,0.044203,0.10233,-0.03407,0.24702
energy_follower,clean,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.62735,0.4589,0.78097,,,0.033911,-0.12979,0.17439,,,,,,,,1.9572,1.5153,2.4366,,,2.085,1.9341,2.2588,,,168,12,all_nonrate_rungs,0.037012,-0.046301,0.1128,0.10233,-0.03407,0.24702
energy_follower,clean,brow_outer,plan,c100 item (cell bootstrap),0.84643,0.6567,0.96944,,,-0.015645,-0.18991,0.099703,,,-0.0060847,-0.18387,0.12441,,,1.9643,1.5119,2.4703,,,2.0827,1.926,2.2689,,,12,12,c100,-0.035876,-0.13095,0.053419,0.072612,-0.11369,0.2495
energy_follower,clean,brow_outer,post,c100 item (cell bootstrap),0.60794,0.43849,0.76906,,,0.0080695,-0.1626,0.159,,,,,,,,1.9643,1.5119,2.4703,,,2.0827,1.926,2.2689,,,12,12,c100,0.017357,-0.065436,0.094632,0.072612,-0.11369,0.2495
energy_follower,clean,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.84048,0.6579,0.96349,,,-0.029464,-0.20057,0.084852,,,-0.00099209,-0.17716,0.13243,,,1.9572,1.5153,2.4366,,,2.085,1.9341,2.2588,,,168,12,all_nonrate_rungs,-0.036312,-0.1273,0.044203,0.10233,-0.03407,0.24702
energy_follower,clean,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.62735,0.4589,0.78097,,,0.033911,-0.12979,0.17439,,,,,,,,1.9572,1.5153,2.4366,,,2.085,1.9341,2.2588,,,168,12,all_nonrate_rungs,0.037012,-0.046301,0.1128,0.10233,-0.03407,0.24702
energy_follower,noise,brow_inner,plan,c100 item (cell bootstrap),0.84643,0.6567,0.96944,,,0.0073155,-0.17417,0.12508,,,0.0029762,-0.17225,0.13029,,,1.8433,1.4405,2.2461,,,1.983,1.8422,2.1679,,,12,12,c100,-0.020537,-0.11874,0.068094,,,
energy_follower,noise,brow_inner,post,c100 item (cell bootstrap),0.60794,0.43849,0.76906,,,0.035385,-0.13721,0.19495,,,,,,,,1.8433,1.4405,2.2461,,,1.983,1.8422,2.1679,,,12,12,c100,0.031671,-0.05064,0.10869,,,
energy_follower,noise,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.82262,0.64398,0.94365,,,-0.021885,-0.19772,0.093301,,,0.0041572,-0.16569,0.13644,,,1.8645,1.4501,2.2992,,,1.9888,1.8591,2.1541,,,168,12,all_nonrate_rungs,-0.02692,-0.12293,0.059349,,,
energy_follower,noise,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.61148,0.44756,0.76386,,,0.04241,-0.12108,0.18106,,,,,,,,1.8645,1.4501,2.2992,,,1.9888,1.8591,2.1541,,,168,12,all_nonrate_rungs,0.046394,-0.040976,0.12567,,,
energy_follower,noise,brow_outer,plan,c100 item (cell bootstrap),0.84643,0.6567,0.96944,,,-0.0051766,-0.18124,0.10995,,,0.0071428,-0.17132,0.13566,,,1.9266,1.4643,2.4405,,,2.0351,1.8709,2.2281,,,12,12,c100,-0.029037,-0.12481,0.061338,,,
energy_follower,noise,brow_outer,post,c100 item (cell bootstrap),0.60794,0.43849,0.76906,,,0.020405,-0.14618,0.16935,,,,,,,,1.9266,1.4643,2.4405,,,2.0351,1.8709,2.2281,,,12,12,c100,0.024035,-0.054342,0.098255,,,
energy_follower,noise,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.8256,0.64521,0.94743,,,-0.018701,-0.19476,0.10078,,,0.0055012,-0.16933,0.14127,,,1.873,1.4474,2.3216,,,1.9934,1.8603,2.1602,,,168,12,all_nonrate_rungs,-0.027039,-0.12418,0.061562,,,
energy_follower,noise,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.60944,0.44207,0.76097,,,0.03961,-0.12568,0.17862,,,,,,,,1.873,1.4474,2.3216,,,1.9934,1.8603,2.1602,,,168,12,all_nonrate_rungs,0.045592,-0.043935,0.12975,,,
